Name,Filename,Artwork,HD,M4V,Backup,Artist,Main Genre,Genres,Release Date,Description,Rating,Studio,Director,Producers,Screenwriters,Media Kind,Path
"007: Licence to Kill","007_ Licence to Kill.m4v","img/artwork/00011/007_%20Licence%20to%20Kill.art[0].png",0,1,1,"Timothy Dalton, Carey Lowell, Robert Davi, Talisa Soto, Anthony Zerbe, Frank McRae, David Hedison, Wayne Newton, Benicio Del Toro, Anthony Starke, Everett McGill, Desmond Llewelyn, Pedro Armendáriz Jr., Robert Brown","Action & Adventure","Adventure, Action, Thriller, Foreign","1989-07-14","James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge. The 16th film from the Legendary James Bond series starring Timothy Dalton as a British super agent.","PG-13","United Artists","John Glen","Albert R. Broccoli, Barbara Broccoli, Tom Pevsner, Michael J. Wilson, Janet Hirshenson, Jane Jenkins","Ian Fleming, Michael J. Wilson, Richard Maibaum","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Licence to Kill/007_ Licence to Kill.m4v"
"007: Live and Let Die","007_ Live and Let Die.m4v","img/artwork/00012/007_%20Live%20and%20Let%20Die.art[0].png",0,1,1,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James, Julius Harris, Geoffrey Holder, David Hedison, Gloria Hendry, Bernard Lee, Lois Maxwell, Tommy Lane, Roy Stewart","Action & Adventure","Adventure, Action, Thriller, Foreign","1973-07-05","This is the 8th movie of 007 films serie. James Bond must investigate a mysterious murder case of a British agent in New York. Soon he finds himself up against a big gangster boss named Mr. Big. This the eight film of the James Bond series and the first one to star Roger Moore as the British undercover agent 007.","PG","United Artists, Eon Productions","Guy Hamilton","Albert R. Broccoli, Harry Saltzman, Weston Drury Jr.","Ian Fleming, Tom Mankiewicz","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Live and Let Die/007_ Live and Let Die.m4v"
"007: Moonraker","007_ Moonraker.m4v","img/artwork/00013/007_%20Moonraker.art[0].png",0,1,1,"Roger Moore, Lois Chiles, Michael Lonsdale, Corinne Cléry, Richard Kiel, Bernard Lee, Geoffrey Keen, Desmond Llewelyn, Lois Maxwell, Toshirô Suga, Emily Bolton, Blanche Ravalec","Action & Adventure","Action, Adventure, Foreign, Thriller","1979-06-26","This is the 11th movie of 007 films serie. During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind. The showdown is about to take place in outer space. The eleventh film from the Legendary James Bond series","PG","United Artists, Eon Productions","Lewis Gilbert","Albert R. Broccoli, William P. Cartlidge, Michael J. Wilson, Margot Capelier, Weston Drury Jr.","Christopher Wood","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Moonraker/007_ Moonraker.m4v"
"007: Octopussy","007_ Octopussy.m4v","img/artwork/00014/007_%20Octopussy.art[0].png",0,1,1,"Roger Moore, Maud Adams, Louis Jourdan, Kristina Wayborn, Kabir Bedi, Steven Berkoff, David Meyer, Tony Meyer, Desmond Llewelyn, Robert Brown, Lois Maxwell, Michaela Clavell, Walter Gotell, Vijay Amritraj, Albert Moses, Geoffrey Keen, Douglas Wilmer, Andy Bradford, Philip Voss, Bruce Boa, Richard LeParmentier, Paul Hardwick, Suzanne Jerome, Cherry Gillespie, Dermot Crowley, Peter Porteous, Eva Reuber-Staier, Jeremy Bulloch, Tina Hudson, William Derrick, Stuart Saunders, Patrick Barr","Action & Adventure","Adventure, Action, Thriller, Foreign","1983-06-06","This is the 13th movie of 007 films serie. James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War. The 13th film from the Legendary James Bond series starring Roger Moore as a British super agent.","-- United States","MGM, United Artists, Eon Productions","John Glen","Albert R. Broccoli, Tom Pevsner, Michael J. Wilson, Debbie McWilliams","George MacDonald Fraser, Richard Maibaum, Michael J. Wilson, George MacDonald Fraser, Richard Maibaum, Michael J. Wilson","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Octopussy/007_ Octopussy.m4v"
"007: On Her Majesty's Secret Service","007_ On Her Majesty's Secret Service.m4v","img/artwork/00015/007_%20On%20Her%20Majesty's%20Secret%20Service.art[0].png",0,1,1,"George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti, Ilse Steppat, Angela Scoular, Lois Maxwell, George Baker, Bernard Lee, Bernard Horsfall, Desmond Llewelyn, Yuri Borionko, Catherine Schell","Action & Adventure","Adventure, Action, Thriller, Foreign","1969-12-18","This is the 6th movie of 007 films serie. Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way, Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile, he locates Blofeld in the Alps and embarks on a classic ski chase.","PG","MGM, United Artists","Peter R. Hunt","Albert R. Broccoli, Harry Saltzman, Stanley Sopel","Richard Maibaum, Ian Fleming","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ On Her Majesty's Secret Service/007_ On Her Majesty's Secret Service.m4v"
"007: Quantum of Solace","007_ Quantum of Solace.m4v","img/artwork/00016/007_%20Quantum%20of%20Solace.art[0].png",0,1,1,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini, Gemma Arterton, Jeffrey Wright, David Harbour, Jesper Christensen, Anatole Taubman, Rory Kinnear, Tim Pigott-Smith, Joaquin Cosio, Jesus Ochoa, Glenn Foster, Paul Ritter, Simon Kassianides, Stana Katic, Lucrezia Lante della Rovere, Neil Jackson, Oona Chaplin, Laurence Richardson, Rachel McDowall, Gustavo Nanez, Mark Wakeling, Sarah Hadland, David Decio, Aaron King, Alexandra Prusa, Brandon Jovanovich, Alexandre Krawetz, Fernando Guillén Cuervo","Action & Adventure","Adventure, Action, Thriller, Crime, Foreign","2008-10-31","This is the 22nd movie of 007 films serie. Quantum of Solace continues the high octane adventures of James Bond in Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr White who reveals the organization which blackmailed Vesper is far more complex and dangerous than anyone had imagined.","PG-13","MGM","Marc Forster","Michael G. Wilson, Barbara Broccoli, Callum McDougall, Anthony Waye, Gregg Wilson, Debbie McWilliams","Robert Wade, Neal Purvis, Paul Haggis","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Quantum of Solace/007_ Quantum of Solace.m4v"
"007: Skyfall","007_ Skyfall.m4v","img/artwork/00017/007_%20Skyfall.art[0].png",0,1,1,"Daniel Craig, Javier Bardem, Ralph Fiennes, Albert Finney, Naomie Harris, Tonia Sotiropoulou, Helen McCrory, Bérénice Marlohe, Ben Whishaw, Ola Rapace, Rory Kinnear, Judi Dench","Action & Adventure","Action, Adventure, Thriller","2012-11-09","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.","PG-13","MGM, Columbia Pictures, Eon Productions, Danjaq","Sam Mendes","Barbara Broccoli, Michael G. Wilson, Callum McDougall","John Logan, Paul Epworth, Robert Wade, Neal Purvis","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Skyfall/007_ Skyfall.m4v"
"007: The Living Daylights","007_ The Living Daylights.m4v","img/artwork/00018/007_%20The%20Living%20Daylights.art[0].png",0,1,1,"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé, Joe Don Baker, John Rhys-Davies, Art Malik, Andreas Wisniewski, Thomas Wheatley, Desmond Llewelyn, Robert Brown, Geoffrey Keen, Walter Gotell, Caroline Bliss","Action & Adventure","Action, Adventure, Foreign, Thriller","1987-06-29","James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious. The 15th film from the Legendary James Bond series starring Timothy Dalton as a British super agent.","PG","United Artists","John Glen","Albert R. Broccoli, Barbara Broccoli, Tom Pevsner, Michael J. Wilson, Debbie McWilliams","Richard Maibaum, Michael J. Wilson","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ The Living Daylights/007_ The Living Daylights.m4v"
"007: The Man with the Golden Gun","007_ The Man with the Golden Gun.m4v","img/artwork/00019/007_%20The%20Man%20with%20the%20Golden%20Gun.art[0].png",0,1,1,"Roger Moore, Christopher Lee, Britt Ekland, Maud Adams, Hervé Villechaize, Clifton James, Richard Loo, Soon-Tek Oh, Marc Lawrence, Bernard Lee, Lois Maxwell, Desmond Llewelyn","Action & Adventure","Adventure, Action, Comedy, Thriller, Foreign","1974-12-18","A golden bullet has 007 engraved on it as it smashes into the secret service headquarters. The bullet came from the professional killer Scaramanga who has yet to miss a target and James Bond begins a mission to try and stop him. The ninth film from the Legendary James Bond series starring Roger Moore as a British super agent.","PG","United Artists, Eon Productions","Guy Hamilton","Albert R. Broccoli, Harry Saltzman, Charles Orme, Weston Drury Jr., Maude Spector","Ian Fleming, Richard Maibaum, Tom Mankiewicz","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ The Man with the Golden Gun/007_ The Man with the Golden Gun.m4v"
"007: The Spy Who Loved Me","007_ The Spy Who Loved Me.m4v","img/artwork/00020/007_%20The%20Spy%20Who%20Loved%20Me.art[0].png",0,1,1,"Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel, Caroline Munro, Walter Gotell, Geoffrey Keen, Bernard Lee, George Baker, Michael Billington, Olga Bisera, Desmond Llewelyn, Edward de Souza, Vernon Dobtcheff, Lois Maxwell, Sydney Tafler","Action & Adventure","Adventure, Action, Thriller, Foreign","1977-07-07","This is the 10th movie of 007 films serie. Russian and American submarines with nuclear missels on board both vanish from sight without a trace. America and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case. The tenth film from the Legendary James Bond series starring Roger Moore as a British super agent.","PG","United Artists, Eon Productions","Lewis Gilbert","Albert R. Broccoli, William P. Cartlidge, Weston Drury Jr., Maude Spector","Ian Fleming, Christopher Wood, Richard Maibaum","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ The Spy Who Loved Me/007_ The Spy Who Loved Me.m4v"
