Name,Filename,Artwork,HD,M4V,Backup,Artist,Main Genre,Genres,Release Date,Description,Rating,Studio,Director,Producers,Screenwriters,Media Kind,Path
"007: Licence to Kill","007_ Licence to Kill.m4v","artwork/00011/007_%20Licence%20to%20Kill.art[0].png",0,1,0,"Anthony Starke, Anthony Zerbe, Benicio Del Toro, Carey Lowell, David Hedison, Desmond Llewelyn, Everett McGill, Frank McRae, Pedro Armendáriz Jr., Robert Brown, Robert Davi, Talisa Soto, Timothy Dalton, Wayne Newton","Action & Adventure","Adventure, Action, Thriller, Foreign","1989-07-14","James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge. The 16th film from the Legendary James Bond series starring Timothy Dalton as a British super agent.","0","United Artists","John Glen","Albert R. Broccoli, Barbara Broccoli, Tom Pevsner, Michael J. Wilson, Janet Hirshenson, Jane Jenkins","Ian Fleming, Michael J. Wilson, Richard Maibaum","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Licence to Kill/007_ Licence to Kill.m4v"
"007: Live and Let Die","007_ Live and Let Die.m4v","artwork/00012/007_%20Live%20and%20Let%20Die.art[0].png",0,1,0,"Bernard Lee, Clifton James, David Hedison, Geoffrey Holder, Gloria Hendry, Jane Seymour, Julius Harris, Lois Maxwell, Roger Moore, Roy Stewart, Tommy Lane, Yaphet Kotto","Action & Adventure","Adventure, Action, Thriller, Foreign","1973-07-05","This is the 8th movie of 007 films serie. James Bond must investigate a mysterious murder case of a British agent in New York. Soon he finds himself up against a big gangster boss named Mr. Big. This the eight film of the James Bond series and the first one to star Roger Moore as the British undercover agent 007.","0","United Artists, Eon Productions","Guy Hamilton","Albert R. Broccoli, Harry Saltzman, Weston Drury Jr.","Ian Fleming, Tom Mankiewicz","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Live and Let Die/007_ Live and Let Die.m4v"
"007: Moonraker","007_ Moonraker.m4v","artwork/00013/007_%20Moonraker.art[0].png",0,1,0,"Bernard Lee, Blanche Ravalec, Corinne Cléry, Desmond Llewelyn, Emily Bolton, Geoffrey Keen, Lois Chiles, Lois Maxwell, Michael Lonsdale, Richard Kiel, Roger Moore, Toshirô Suga","Action & Adventure","Action, Adventure, Foreign, Thriller","1979-06-26","This is the 11th movie of 007 films serie. During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind. The showdown is about to take place in outer space. The eleventh film from the Legendary James Bond series","0","United Artists, Eon Productions","Lewis Gilbert","Albert R. Broccoli, William P. Cartlidge, Michael J. Wilson, Margot Capelier, Weston Drury Jr.","Christopher Wood","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Moonraker/007_ Moonraker.m4v"
"007: Octopussy","007_ Octopussy.m4v","artwork/00014/007_%20Octopussy.art[0].png",0,1,0,"Albert Moses, Andy Bradford, Bruce Boa, Cherry Gillespie, David Meyer, Dermot Crowley, Desmond Llewelyn, Douglas Wilmer, Eva Reuber-Staier, Geoffrey Keen, Jeremy Bulloch, Kabir Bedi, Kristina Wayborn, Lois Maxwell, Louis Jourdan, Maud Adams, Michaela Clavell, Patrick Barr, Paul Hardwick, Peter Porteous, Philip Voss, Richard LeParmentier, Robert Brown, Roger Moore, Steven Berkoff, Stuart Saunders, Suzanne Jerome, Tina Hudson, Tony Meyer, Vijay Amritraj, Walter Gotell, William Derrick","Action & Adventure","Adventure, Action, Thriller, Foreign","1983-06-06","This is the 13th movie of 007 films serie. James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War. The 13th film from the Legendary James Bond series starring Roger Moore as a British super agent.","","MGM, United Artists, Eon Productions","John Glen","Albert R. Broccoli, Tom Pevsner, Michael J. Wilson, Debbie McWilliams","George MacDonald Fraser, Richard Maibaum, Michael J. Wilson, George MacDonald Fraser, Richard Maibaum, Michael J. Wilson","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Octopussy/007_ Octopussy.m4v"
"007: On Her Majesty's Secret Service","007_ On Her Majesty's Secret Service.m4v","artwork/00015/007_%20On%20Her%20Majesty's%20Secret%20Service.art[0].png",0,1,0,"Angela Scoular, Bernard Horsfall, Bernard Lee, Catherine Schell, Desmond Llewelyn, Diana Rigg, Gabriele Ferzetti, George Baker, George Lazenby, Ilse Steppat, Lois Maxwell, Telly Savalas, Yuri Borionko","Action & Adventure","Adventure, Action, Thriller, Foreign","1969-12-18","This is the 6th movie of 007 films serie. Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way, Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile, he locates Blofeld in the Alps and embarks on a classic ski chase.","0","MGM, United Artists","Peter R. Hunt","Albert R. Broccoli, Harry Saltzman, Stanley Sopel","Richard Maibaum, Ian Fleming","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ On Her Majesty's Secret Service/007_ On Her Majesty's Secret Service.m4v"
"007: Quantum of Solace","007_ Quantum of Solace.m4v","artwork/00016/007_%20Quantum%20of%20Solace.art[0].png",0,1,0,"Aaron King, Alexandra Prusa, Alexandre Krawetz, Anatole Taubman, Brandon Jovanovich, Daniel Craig, David Decio, David Harbour, Fernando Guillén Cuervo, Gemma Arterton, Giancarlo Giannini, Glenn Foster, Gustavo Nanez, Jeffrey Wright, Jesper Christensen, Jesus Ochoa, Joaquin Cosio, Judi Dench, Laurence Richardson, Lucrezia Lante della Rovere, Mark Wakeling, Mathieu Amalric, Neil Jackson, Olga Kurylenko, Oona Chaplin, Paul Ritter, Rachel McDowall, Rory Kinnear, Sarah Hadland, Simon Kassianides, Stana Katic, Tim Pigott-Smith","Action & Adventure","Adventure, Action, Thriller, Crime, Foreign","2008-10-31","This is the 22nd movie of 007 films serie. Quantum of Solace continues the high octane adventures of James Bond in Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr White who reveals the organization which blackmailed Vesper is far more complex and dangerous than anyone had imagined.","0","MGM","Marc Forster","Michael G. Wilson, Barbara Broccoli, Callum McDougall, Anthony Waye, Gregg Wilson, Debbie McWilliams","Robert Wade, Neal Purvis, Paul Haggis","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Quantum of Solace/007_ Quantum of Solace.m4v"
"007: Skyfall","007_ Skyfall.m4v","artwork/00017/007_%20Skyfall.art[0].png",0,1,0,"Albert Finney, Ben Whishaw, Bérénice Marlohe, Daniel Craig, Helen McCrory, Javier Bardem, Judi Dench, Naomie Harris, Ola Rapace, Ralph Fiennes, Rory Kinnear, Tonia Sotiropoulou","Action & Adventure","Action, Adventure, Thriller","2012-11-09","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.","0","MGM, Columbia Pictures, Eon Productions, Danjaq","Sam Mendes","Barbara Broccoli, Michael G. Wilson, Callum McDougall","John Logan, Paul Epworth, Robert Wade, Neal Purvis","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Skyfall/007_ Skyfall.m4v"
"007: The Living Daylights","007_ The Living Daylights.m4v","artwork/00018/007_%20The%20Living%20Daylights.art[0].png",0,1,0,"Andreas Wisniewski, Art Malik, Caroline Bliss, Desmond Llewelyn, Geoffrey Keen, Jeroen Krabbé, Joe Don Baker, John Rhys-Davies, Maryam d'Abo, Robert Brown, Thomas Wheatley, Timothy Dalton, Walter Gotell","Action & Adventure","Action, Adventure, Foreign, Thriller","1987-06-29","James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious. The 15th film from the Legendary James Bond series starring Timothy Dalton as a British super agent.","0","United Artists","John Glen","Albert R. Broccoli, Barbara Broccoli, Tom Pevsner, Michael J. Wilson, Debbie McWilliams","Richard Maibaum, Michael J. Wilson","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ The Living Daylights/007_ The Living Daylights.m4v"
"007: The Man with the Golden Gun","007_ The Man with the Golden Gun.m4v","artwork/00019/007_%20The%20Man%20with%20the%20Golden%20Gun.art[0].png",0,1,0,"Bernard Lee, Britt Ekland, Christopher Lee, Clifton James, Desmond Llewelyn, Hervé Villechaize, Lois Maxwell, Marc Lawrence, Maud Adams, Richard Loo, Roger Moore, Soon-Tek Oh","Action & Adventure","Adventure, Action, Comedy, Thriller, Foreign","1974-12-18","A golden bullet has 007 engraved on it as it smashes into the secret service headquarters. The bullet came from the professional killer Scaramanga who has yet to miss a target and James Bond begins a mission to try and stop him. The ninth film from the Legendary James Bond series starring Roger Moore as a British super agent.","0","United Artists, Eon Productions","Guy Hamilton","Albert R. Broccoli, Harry Saltzman, Charles Orme, Weston Drury Jr., Maude Spector","Ian Fleming, Richard Maibaum, Tom Mankiewicz","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ The Man with the Golden Gun/007_ The Man with the Golden Gun.m4v"
"007: The Spy Who Loved Me","007_ The Spy Who Loved Me.m4v","artwork/00020/007_%20The%20Spy%20Who%20Loved%20Me.art[0].png",0,1,0,"Barbara Bach, Bernard Lee, Caroline Munro, Curd Jürgens, Desmond Llewelyn, Edward de Souza, Geoffrey Keen, George Baker, Lois Maxwell, Michael Billington, Olga Bisera, Richard Kiel, Roger Moore, Sydney Tafler, Vernon Dobtcheff, Walter Gotell","Action & Adventure","Adventure, Action, Thriller, Foreign","1977-07-07","This is the 10th movie of 007 films serie. Russian and American submarines with nuclear missels on board both vanish from sight without a trace. America and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case. The tenth film from the Legendary James Bond series starring Roger Moore as a British super agent.","0","United Artists, Eon Productions","Lewis Gilbert","Albert R. Broccoli, William P. Cartlidge, Weston Drury Jr., Maude Spector","Ian Fleming, Christopher Wood, Richard Maibaum","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ The Spy Who Loved Me/007_ The Spy Who Loved Me.m4v"
"007: The World Is Not Enough","007_ The World Is Not Enough.m4v","artwork/00021/007_%20The%20World%20Is%20Not%20Enough.art[0].png",0,1,0,"Colin Salmon, David Calder, Denise Richards, Desmond Llewelyn, John Cleese, Judi Dench, Maria Grazia Cucinotta, Michael Kitchen, Pierce Brosnan, Robbie Coltrane, Robert Carlyle, Samantha Bond, Serena Scott Thomas, Sophie Marceau","Action & Adventure","Adventure, Action, Thriller, Foreign","1999-11-08","Greed, revenge, world dominance, high-tech terrorism -- it's all in a day's work for cunning MI6 agent James Bond, who's on a mission to protect beautiful oil heiress Elektra King from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.","0","United Artists","Michael Apted","","Neal Purvis, Robert Wade","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ The World Is Not Enough/007_ The World Is Not Enough.m4v"
"007: Thunderball","007_ Thunderball.m4v","artwork/00022/007_%20Thunderball.art[0].png",0,1,0,"Adolfo Celi, André Maranne, Bernard Lee, Claudine Auger, Desmond Llewelyn, Guy Doleman, Lois Maxwell, Luciana Paluzzi, Martine Beswick, Molly Peters, Rik Van Nutter, Roland Culver, Sean Connery","Action & Adventure","Adventure, Action, Thriller, Foreign","1965-12-29","This is the 4th movie of 007 films serie. A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.","0","United Artists, Eon Productions","Terence Young","Kevin McClory, Albert R. Broccoli, Harry Saltzman","Ian Fleming, Richard Maibaum, John Hopkins, Jack Whittingham","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Thunderball/007_ Thunderball.m4v"
"007: Tomorrow Never Dies","007_ Tomorrow Never Dies.m4v","artwork/00023/007_%20Tomorrow%20Never%20Dies.art[0].png",0,1,0,"Colin Salmon, Desmond Llewelyn, Geoffrey Palmer, Götz Otto, Joe Don Baker, Jonathan Pryce, Judi Dench, Julian Fellowes, Michelle Yeoh, Pierce Brosnan, Ricky Jay, Samantha Bond, Terence Rigby, Teri Hatcher, Vincent Schiavelli","Action & Adventure","Adventure, Action, Thriller, Foreign","1997-12-12","This is the 18th movie of 007 films serie. A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium. --- The 18th film from the legendary James Bond series, starring Pierce Brosnan.","0","United Artists","Roger Spottiswoode","Debbie McWilliams, Barbara Broccoli, Michael J. Wilson, Anthony Waye","Bruce Feirstein, Ian Fleming","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ Tomorrow Never Dies/007_ Tomorrow Never Dies.m4v"
"007: You Only Live Twice","007_ You Only Live Twice.m4v","artwork/00024/007_%20You%20Only%20Live%20Twice.art[0].png",0,1,0,"Akiko Wakabayashi, Bernard Lee, Burt Kwouk, Charles Gray, Desmond Llewelyn, Donald Pleasence, Karin Dor, Lois Maxwell, Mie Hama, Sean Connery, Teru Shimada, Tetsurô Tanba, Tsai Chin","Action & Adventure","Action, Thriller, Foreign","1967-06-12","This is the 5th movie of 007 films serie. A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.","0","Eon Productions, Danjaq","Lewis Gilbert","Albert R. Broccoli, Harry Saltzman","Ian Fleming, Roald Dahl","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/007_ You Only Live Twice/007_ You Only Live Twice.m4v"
"10,000 BC","10,000 BC.m4v","artwork/00025/10,000%20BC.art[0].png",0,1,0,"Affif Ben Badra, Camilla Belle, Cliff Curtis, Joel Fry, Marco Khan, Mo Zinal, Mona Hammond, Nathanael Baring, Reece Ritchie, Steven Strait","Action & Adventure","Adventure, Drama","2008-03-06","A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.","0","Centropolis Entertainment, Legendary Pictures","Roland Emmerich","Roland Emmerich, Mark Gordon, Michael Wimer, Harald Kloser, Sarah Bradshaw, Tom Karnowski, Thomas Tull, William Fay","Harald Kloser, Roland Emmerich","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/10,000 BC/10,000 BC.m4v"
"12 Years a Slave","12 Years a Slave (1080p HD).m4v","artwork/00026/12%20Years%20a%20Slave%20(1080p%20HD).art[0].jpg",1,1,0,"Adepero Oduye, Alfre Woodard, Ashley Dyke, Benedict Cumberbatch, Bill Camp, Brad Pitt, Bryan Batt, Cameron Zeigler, Chiwetel Ejiofor, Chris Chalk, Christopher Berry, Craig Tate, Dwight Henry, Garret Dillahunt, Kelsey Scott, Lupita Nyong'o, Michael Fassbender, Michael K. Williams, Paul Dano, Paul Giamatti, Quvenzhané Wallis, Ruth Negga, Sarah Paulson, Scoot McNairy, Steve McQueen, Taran Killam, Tony Bentley","Drama","Drama, History","2013-10-18","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.","0","New Regency Pictures, Plan B Entertainment, River Road Entertainment, Summit Entertainment","Steve McQueen","Dede Gardner, Jeremy Kleiner, Brad Pitt, Anthony Katagas, Arnon Milchan, Bill Pohlad, Steve McQueen","John Ridley, Solomon Northup","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/12 Years a Slave/12 Years a Slave (1080p HD).m4v"
"127 Hours","127 Hours.m4v","artwork/00027/127%20Hours.art[0].png",0,1,0,"Amber Tamblyn, Bailee Michelle Johnson, Clémence Poésy, Fenton Quinn, James Franco, John Lawrence, Kate Burton, Kate Mara, Koleman Stinger, Lizzy Caplan, Parker Hadley, Rebecca C. Olson, Sean Bott, Treat Williams","Drama","Action, Adventure, Drama, Suspense, Thriller","2010-11-05","127 Hours is the true story of mountain climber Aron Ralston's (James Franco) remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah. Over the next five days Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he is finally rescued. Throughout his journey, Ralston recalls friends, lovers (Clemence Poesy), family, and the two hikers (Amber Tamblyn and Kate Mara) he met before his accident. Will they be the last two people he ever had the chance to meet?","0","James Franco, Kate Mara, Amber Tamblyn, Sean Bott, Koleman Stinger, Treat Williams, John Lawrence, Kate Burton, Bailee Michelle Johnson, Rebecca C. Olson, Parker Hadley, Fenton Quinn, Lizzy Caplan, Clémence Poésy","Danny Boyle","","Simon Beaufoy, Danny Boyle","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/127 Hours/127 Hours.m4v"
